step 13500: train loss 2.8939, val loss 2.8948, lr 2.87e-04 (4575.95s) | 🟡 Po: 76.3% SW: 1239Mo MPS: 2249Mo | 💾 | 🗑️ | ✨
step 13550: train loss 2.8141, val loss 2.8716, lr 2.87e-04 (4584.30s) | 🟡 Po: 83.4% SW: 1231Mo MPS: 2249Mo | 💾 | 🗑️ | ✨
step 13600: train loss 2.8656, val loss 2.8978, lr 2.87e-04 (4609.79s) | 🟡 Po: 83.5% SW: 1223Mo MPS: 2249Mo | 💾 | 🗑️ | ✨
step 13650: train loss 2.7893, val loss 2.8676, lr 2.86e-04 (4594.98s) | 🟡 Po: 83.5% SW: 1830Mo MPS: 2249Mo | 💾 | 🗑️ | ✨
step 13700: train loss 2.8452, val loss 2.8138, lr 2.86e-04 (4584.99s) | 🟡 Po: 81.3% SW: 1710Mo MPS: 2249Mo | 💾 | 🗑️ | ✨
step 13750: train loss 2.8377, val loss 2.9157, lr 2.86e-04 (4575.86s) | 🟡 Po: 81.6% SW: 1710Mo MPS: 2249Mo | 💾 | 🗑️ | ✨
step 13800: train loss 2.7665, val loss 2.8078, lr 2.86e-04 (4575.44s) | 🟡 Po: 84.6% SW: 1702Mo MPS: 2249Mo | 💾 | 🗑️ | ✨
step 13850: train loss 2.7824, val loss 2.8859, lr 2.86e-04 (4577.40s) | 🟡 Po: 82.6% SW: 1678Mo MPS: 2249Mo | 💾 | 🗑️ | ✨
step 13900: train loss 2.7960, val loss 2.9338, lr 2.86e-04 (4585.41s) | 🟡 Po: 81.2% SW: 1678Mo MPS: 2249Mo | 💾 | 🗑️ | ✨
step 13950: train loss 2.7901, val loss 2.8531, lr 2.86e-04 (4579.04s) | 🟡 Po: 78.8% SW: 1662Mo MPS: 2249Mo | 💾 | 🗑️ | ✨
step 14000: train loss 2.7686, val loss 2.8798, lr 2.86e-04 (4606.46s) | 🔴 Po: 85.2% SW: 1698Mo MPS: 2249Mo | 💾 | 🗑️ | ✨
