date_m,2024,2023,2022,2021,2016-2021 average,max 2016-2021,min 2016-2021
04/12,,56.65,27.34,30.22,35.69,57.95,18.96
04/13,,56.73,27.61,29.92,35.78,58.22,19.1
04/14,,56.73,27.92,29.64,35.7,58.49,19.34
04/15,,56.84,28.34,29.4,36.04,58.7,19.67
04/16,,57.05,28.77,29.26,36.22,58.97,19.95
04/17,,57.17,29.22,29.25,36.43,59.27,20.24
04/18,,57.3,29.63,29.28,36.66,59.65,20.59
04/19,,57.47,29.92,29.23,36.87,60.04,20.96
04/20,,57.62,30.17,29.23,37.08,60.29,21.36
04/21,,57.77,30.42,29.29,37.35,60.62,21.82
04/22,,58.11,30.75,29.36,37.55,60.36,22.32
04/23,,58.47,31.16,29.45,37.92,61.29,22.7
04/24,,58.75,31.59,29.72,38.2,61.64,23.02
04/25,,58.97,31.86,29.93,38.39,62.02,23.37
04/26,,59.07,32.07,30.02,38.62,62.37,23.7
04/27,,59.24,32.41,30.1,38.8,62.67,24.04
04/28,,59.48,32.7,30.2,39.0,62.95,24.45
04/29,,59.83,33.01,30.3,39.22,63.28,24.88
04/30,,60.27,33.42,30.11,39.41,63.6,25.21
05/01,,60.62,33.89,30.33,39.74,64.04,25.67
05/02,,60.84,34.28,30.54,40.0,64.42,25.92
05/03,,61.08,34.69,30.63,40.26,64.8,26.25
05/04,,61.28,35.09,30.75,40.5,65.11,26.45
05/05,,61.58,35.5,30.77,40.76,65.41,26.84
05/06,,61.94,35.93,30.76,41.02,65.72,27.22
05/07,,62.32,36.45,30.8,41.32,66.05,27.64
05/08,,62.61,36.97,31.08,41.66,66.45,28.05
05/09,,62.82,37.41,31.48,42.0,66.93,28.45
05/10,,63.03,37.83,31.85,42.34,67.34,28.87
05/11,,63.25,38.28,32.15,42.68,67.68,29.32
05/12,,63.51,38.72,32.43,43.0,67.84,29.81
05/13,,63.91,39.27,32.74,43.31,68.06,30.19
05/14,,64.31,39.84,33.06,43.66,68.31,30.69
05/15,,64.5,40.43,33.38,43.97,68.56,31.08
05/16,,64.86,40.87,33.72,44.3,68.94,31.47
05/17,,65.13,41.27,33.92,44.62,69.35,31.86
05/18,,65.42,41.67,34.06,44.95,69.7,32.23
05/19,,65.64,42.11,34.21,45.28,70.01,32.66
05/20,,66.06,42.58,34.46,45.65,70.29,33.13
05/21,,66.49,43.13,34.77,46.05,70.66,33.59
05/22,,66.75,43.67,35.12,46.43,71.08,33.9
05/23,,67.01,44.11,35.49,46.81,71.47,34.27
05/24,,67.23,44.54,35.8,47.19,71.84,34.73
05/25,,67.47,45.01,36.03,47.57,72.16,35.17
05/26,,67.79,45.5,36.21,47.95,72.43,35.66
05/27,,68.18,45.99,36.36,48.31,72.65,36.16
05/28,,68.55,46.48,36.6,48.66,72.88,36.58
05/29,,68.87,46.96,37.01,49.01,73.12,36.85
05/30,,69.13,47.29,37.43,49.28,73.42,37.23
05/31,,69.39,47.58,37.66,49.53,72.98,37.59
06/01,,69.62,47.93,38.01,50.04,73.96,37.91
06/02,,70.0,48.35,38.43,50.44,74.22,38.38
06/03,,70.34,48.78,38.83,50.83,74.47,38.83
06/04,,70.69,49.3,39.23,51.23,74.74,39.21
06/05,,70.92,49.81,39.66,51.59,74.98,39.52
06/06,,71.12,50.27,40.11,51.96,75.3,39.86
06/07,,71.31,50.62,40.43,52.34,75.63,40.22
06/08,,71.57,50.88,40.74,52.7,75.8,40.59
06/09,,71.88,51.12,40.98,53.01,75.97,40.98
06/10,,72.25,51.36,41.26,53.37,76.14,41.26
06/11,,72.63,51.89,41.57,53.74,76.37,41.57
06/12,,72.92,52.42,42.01,54.13,76.64,42.01
06/13,,73.22,52.86,42.46,54.51,76.99,42.46
06/15,,73.73,53.53,43.09,55.2,77.54,43.09
06/16,,74.02,53.87,43.37,55.54,77.74,43.37
06/17,,74.34,54.2,43.64,55.88,77.93,43.64
06/18,,74.73,54.64,43.97,56.23,78.15,43.97
06/19,,74.99,55.08,44.36,56.56,78.38,44.36
06/20,,75.27,55.41,44.76,56.9,78.69,44.76
06/21,,75.37,55.62,45.05,57.21,79.01,45.05
06/22,,75.51,55.9,45.24,57.42,79.25,45.24
06/23,,75.74,56.18,45.43,57.74,79.48,45.43
06/24,,76.1,56.51,45.64,58.08,79.69,45.64
06/25,,76.45,56.94,45.89,58.54,79.9,45.89
06/26,,76.73,57.39,46.25,58.9,80.14,46.25
06/27,,76.94,57.68,46.64,59.24,80.45,46.64
06/28,,77.14,58.0,46.94,59.58,80.79,46.94
06/29,,77.34,58.3,47.22,59.94,81.03,47.22
06/30,,77.6,58.58,47.49,60.28,81.22,47.49
07/01,,77.82,58.94,47.77,60.57,81.26,47.77
07/02,,78.17,59.38,48.02,60.9,81.44,48.02
07/03,,78.43,59.84,48.43,61.32,81.72,48.43
07/04,,78.64,60.21,48.87,61.71,82.07,48.87
07/05,,78.92,60.56,49.24,62.08,82.42,49.24
07/06,,79.16,60.92,49.5,62.41,82.61,49.5
07/07,,79.46,61.27,49.72,62.72,82.74,49.72
07/08,,79.82,61.63,49.94,63.05,82.85,49.94
07/09,,80.17,62.11,50.23,63.41,82.96,50.23
07/10,,80.45,62.59,50.63,63.71,83.14,50.63
07/11,,80.67,62.83,51.05,64.04,83.44,51.05
07/12,,80.84,63.09,51.34,64.36,83.79,51.34
07/13,,81.07,63.38,51.49,64.67,84.04,51.49
07/14,,81.36,63.69,51.66,65.0,84.13,51.66
07/15,,81.74,64.03,51.87,65.31,84.09,51.87
07/16,,82.12,64.46,52.15,65.62,84.15,52.15
07/17,,82.41,64.87,52.44,65.9,84.22,52.44
07/18,,82.64,65.18,52.75,66.17,84.33,52.75
07/19,,82.86,65.43,52.96,66.44,84.47,52.96
07/20,,83.07,65.68,53.14,66.73,84.54,53.14
07/21,,83.33,65.96,53.31,67.02,84.58,53.31
07/22,,83.68,66.3,53.47,67.31,84.58,53.47
07/23,,84.04,66.73,53.81,67.63,84.62,53.81
07/24,,84.31,67.19,54.22,67.95,84.69,54.22
07/25,,84.56,67.58,54.63,68.25,84.72,54.63
07/26,,84.82,67.94,54.95,68.59,85.0,54.95
07/27,,85.08,68.28,55.28,68.91,85.21,55.28
07/28,,85.34,68.62,55.62,69.25,85.39,55.62
07/29,,85.71,68.96,55.97,69.54,85.58,55.97
07/30,,86.09,69.38,56.3,69.89,85.74,56.3
07/31,,86.4,69.77,56.69,70.21,85.58,56.69
08/01,,86.27,70.65,57.13,70.58,86.08,57.13
08/02,,86.56,71.04,57.49,70.89,86.36,57.49
08/03,,86.81,71.41,57.8,71.23,86.55,57.8
08/04,,87.03,71.71,58.11,71.58,86.73,58.11
08/05,,87.33,71.6,58.42,71.92,86.87,58.42
08/06,,87.65,72.06,58.8,72.28,87.06,58.8
08/07,,87.95,72.53,59.19,72.64,87.28,59.19
08/08,,88.24,72.92,59.58,73.06,87.55,59.58
08/09,,88.52,73.31,59.89,73.4,87.85,59.89
08/10,,88.78,73.72,60.22,73.72,87.97,60.22
08/11,,88.95,74.1,60.5,74.07,88.19,60.5
08/12,,89.32,74.48,60.8,74.42,88.38,60.8
08/13,,89.68,74.93,61.13,74.76,88.56,61.13
08/14,,89.97,75.38,61.54,75.12,88.78,61.54
08/15,,90.11,75.77,61.93,75.49,89.03,61.93
08/16,,90.37,76.13,62.27,75.85,89.31,62.27
08/17,,90.66,76.46,62.56,76.2,89.53,62.56
08/18,,90.96,76.77,62.86,76.55,89.72,62.86
08/19,,91.27,77.15,63.17,76.92,89.91,63.17
08/20,,91.56,77.6,63.51,77.26,90.08,63.51
08/21,,91.77,78.04,63.87,77.59,90.31,63.87
08/22,,91.84,78.37,64.24,77.92,90.59,64.24
08/23,,92.07,78.69,64.57,78.19,90.88,64.57
08/24,,92.18,78.99,64.91,78.48,91.02,64.91
08/25,,92.33,79.34,65.22,78.79,91.16,65.22
08/26,,92.52,79.67,65.53,79.06,91.29,65.53
08/27,,92.73,80.06,65.88,79.35,91.37,65.88
08/28,,92.85,80.46,66.26,79.6,91.29,66.26
08/29,,92.9,80.75,66.65,79.86,91.42,66.65
08/30,,92.99,81.03,66.96,80.12,91.59,66.96
08/31,,93.13,81.15,67.15,80.28,91.36,67.15
09/01,,93.05,81.43,67.58,80.59,91.71,67.58
09/02,,93.07,81.74,67.79,80.86,91.88,67.79
09/03,,93.26,82.14,68.02,81.12,92.07,68.02
09/04,,93.36,82.56,68.32,81.38,92.25,68.32
09/05,,93.45,82.87,68.67,81.66,92.42,68.67
09/06,,93.49,83.17,68.89,81.88,92.56,68.89
09/07,,93.54,83.4,69.06,82.08,92.71,69.06
09/08,,93.59,83.71,69.27,82.45,92.88,69.27
09/09,,93.7,84.0,69.49,82.68,92.97,69.49
09/10,,93.8,84.36,69.7,82.92,93.09,69.7
09/11,,93.83,84.72,69.99,83.14,93.23,69.99
09/12,,93.82,84.97,70.3,83.39,93.4,70.3
09/13,,93.83,85.23,70.47,83.58,93.56,70.47
09/14,,93.83,85.46,70.51,83.74,93.76,70.51
09/15,,93.88,85.71,70.72,83.96,93.99,70.72
09/16,,93.97,86.04,70.85,84.17,94.18,70.85
09/17,,94.1,86.42,71.05,84.35,94.32,71.05
09/18,,94.18,86.78,71.35,84.55,94.44,71.35
09/19,,94.28,87.01,71.65,84.73,94.49,71.65
09/20,,94.33,87.23,71.84,84.88,94.57,71.84
09/21,,94.41,87.44,72.01,84.89,94.75,72.01
09/22,,94.53,87.66,72.17,85.19,94.93,72.17
09/23,,94.68,87.9,72.39,85.41,95.06,72.39
09/24,,94.88,88.21,72.64,85.63,95.19,72.64
09/25,,94.99,88.53,73.26,85.87,95.26,73.26
09/26,,95.09,88.76,73.66,86.07,95.36,73.66
09/27,,95.22,88.96,73.93,86.25,95.5,73.93
09/28,,95.35,89.05,74.14,86.42,95.71,74.14
09/29,,95.49,89.33,74.4,86.61,95.94,74.4
09/30,,95.7,89.53,74.57,86.72,95.91,74.57
10/01,,96.07,89.85,74.81,86.84,96.14,74.81
10/02,,96.22,90.2,75.06,87.0,96.2,75.06
10/03,,96.39,90.47,75.38,87.16,96.23,75.38
10/04,,96.52,90.68,75.55,87.28,96.25,75.55
10/05,,96.58,90.93,75.77,87.44,96.35,75.77
10/06,,96.73,91.18,75.88,87.54,96.45,75.88
