jour,stock_solide,stock_liquide,cout_moyen_solide,cout_moyen_liquide,date
1,543.2555399726198,7722.744460027381,100.0,164.99999999999997,2025-01-01
2,0.0,7534.0,100.0,165.0,2025-01-02
3,0.0,6859.0,100.0,165.0,2025-01-03
4,0.0,6859.0,100.0,165.0,2025-01-04
5,0.0,6121.0,100.0,165.0,2025-01-05
6,0.0,6121.0,100.0,165.0,2025-01-06
7,0.0,6121.0,100.0,165.0,2025-01-07
8,0.0,5383.0,100.0,165.0,2025-01-08
9,0.0,4662.0,100.0,165.0,2025-01-09
10,8000.0,3999.0,633.3333333333334,165.0,2025-01-10
11,7725.464142835668,4273.535857164332,633.3333333333334,199.26182175949555,2025-01-11
12,7009.539150886233,4302.460849113767,633.3333333333334,270.87231810584046,2025-01-12
13,7009.539150886233,4302.460849113767,633.3333333333334,270.87231810584046,2025-01-13
14,6615.564675798087,4696.435324201913,633.3333333333334,306.7311594332287,2025-01-14
15,6235.367520093561,4364.632479906439,633.3333333333334,336.05887485754334,2025-01-15
16,5854.432886324968,4071.5671136750316,633.3333333333334,365.1392534208378,2025-01-16
17,5423.351480078674,3787.6485199213257,633.3333333333334,397.0390945668058,2025-01-17
18,4914.928471420856,4296.071528579144,633.3333333333334,432.69607149232934,2025-01-18
19,4438.163591332478,4072.836408667522,633.3333333333334,459.2309254962588,2025-01-19
20,4012.038317503761,4498.961682496239,633.3333333333334,481.87783520635594,2025-01-20
21,3473.5849578694915,5037.415042130508,633.3333333333334,505.0149381059587,2025-01-21
22,3114.3847621308405,4677.615237869159,633.3333333333334,517.882263706324,2025-01-22
23,2687.9082245947884,4448.091775405211,633.3333333333334,532.9599995221331,2025-01-23
24,2234.0712026814936,4210.9287973185055,633.3333333333334,548.2708178599686,2025-01-24
25,1749.0346685249067,4695.965331475092,633.3333333333334,563.7704643169318,2025-01-25
26,2144.091204323273,4636.908795676726,619.0,577.491144037886,2025-01-26
27,1755.7204952878485,5025.279504712151,619.0,585.7225110433969,2025-01-27
28,1250.87914231559,5530.120857684409,619.0,594.6942029409846,2025-01-28
29,719.219471235005,5379.780528764994,619.0,602.5269330216394,2025-01-29
30,420.51669185076094,5002.483308149239,619.0,606.8126252092821,2025-01-30
31,0.0,4736.0,619.0,612.7979800865894,2025-01-31
32,3625.1664698840127,5110.833530115988,540.1428571428571,612.2365458822541,2025-02-01
33,3311.8688223814415,4674.1311776185585,540.1428571428571,611.8268146420992,2025-02-02
34,2614.408238802662,5371.591761197338,540.1428571428571,610.9589532882799,2025-02-03
35,1902.504696102618,6083.495303897382,540.1428571428571,610.2783413630997,2025-02-04
36,1287.2218116315303,6698.778188368469,540.1428571428571,609.8066470547744,2025-02-05
37,856.0000312262729,6394.999968773726,540.1428571428571,609.5245814449482,2025-02-06
38,520.6830955303753,6076.316904469624,540.1428571428571,609.3062757712488,2025-02-07
39,0.0,6597.0,540.1428571428571,608.9776685710941,2025-02-08
40,0.0,5851.0,540.1428571428571,608.9776685710941,2025-02-09
41,0.0,5851.0,540.1428571428571,608.9776685710941,2025-02-10
42,0.0,5851.0,540.1428571428571,608.9776685710941,2025-02-11
43,0.0,5189.0,540.1428571428571,608.9776685710941,2025-02-12
44,0.0,4440.0,540.1428571428571,608.9776685710941,2025-02-13
45,5000.0,3739.0,461.1842105263158,608.9776685710941,2025-02-14
46,4443.419685077705,4295.580314922295,461.1842105263158,598.2500821744462,2025-02-15
47,4009.5276824960474,4051.4723175039526,461.1842105263158,591.6386035002878,2025-02-16
48,3502.701066671318,4558.298933328682,461.1842105263158,584.360882366357,2025-02-17
49,2986.7871316333353,5074.212868366665,461.1842105263158,578.445845596118,2025-02-18
50,2605.178052454322,4777.821947545679,461.1842105263158,574.790390079585,2025-02-19
51,1889.5642676838354,4768.435732316166,461.1842105263158,568.4586054172597,2025-02-20
52,5288.939837793243,4693.060162206758,410.2078260869565,558.0268548910939,2025-02-21
53,4598.831959029632,5383.168040970368,410.2078260869565,547.4096748487292,2025-02-22
54,3938.731862920619,5358.268137079382,410.2078260869565,539.5231395791013,2025-02-23
55,3405.162211884201,5891.837788115799,410.2078260869565,533.698692163811,2025-02-24
56,2727.7456864681535,6569.2543135318465,410.2078260869565,527.6671583891571,2025-02-25
57,2398.255838162225,6206.744161837775,410.2078260869565,525.161656367775,2025-02-26
58,2398.255838162225,5537.744161837775,410.2078260869565,525.161656367775,2025-02-27
59,2100.5812748600747,5112.418725139925,410.2078260869565,522.6134271293058,2025-02-28
60,2100.5812748600747,5112.418725139925,410.2078260869565,522.6134271293058,2025-03-01
61,1638.848348809368,4919.151651190632,410.2078260869565,518.6866005465018,2025-03-02
62,13220.455796791213,5337.544203208788,309.90194285714284,507.4157936770163,2025-03-03
63,12595.644625215868,5962.355374784134,309.90194285714284,493.5293127183527,2025-03-04
64,12145.245894821946,5716.754105178055,309.90194285714284,485.19753889713024,2025-03-05
65,11723.099089962032,5477.900910037971,309.90194285714284,477.61296730349744,2025-03-06
66,11208.557265325191,5281.442734674812,309.90194285714284,468.7936726904444,2025-03-07
67,10848.60319077705,5641.396809222952,309.90194285714284,462.80283179362664,2025-03-08
68,10236.133009092075,6253.866990907928,309.90194285714284,454.1942903111377,2025-03-09
69,9916.020495510173,6573.97950448983,309.90194285714284,450.3332389290985,2025-03-10
70,9916.020495510173,6573.97950448983,309.90194285714284,450.3332389290985,2025-03-11
71,9316.622624531143,6464.37737546886,309.90194285714284,444.0303001731734,2025-03-12
72,9316.622624531143,5715.37737546886,309.90194285714284,444.0303001731734,2025-03-13
73,9059.387568902686,5318.612431097316,309.90194285714284,441.0530038820048,2025-03-14
74,8440.84991821007,5937.150081789933,309.90194285714284,434.16132667771114,2025-03-15
75,8440.84991821007,5216.150081789933,309.90194285714284,434.1613266777112,2025-03-16
76,8440.84991821007,5216.150081789933,309.90194285714284,434.1613266777112,2025-03-17
77,7841.864386272162,5815.135613727841,309.90194285714284,428.0573394454476,2025-03-18
78,7522.10555238841,5393.894447611593,309.90194285714284,425.2868096877072,2025-03-19
79,7071.092200343806,5186.907799656197,309.90194285714284,421.3989386621094,2025-03-20
80,6724.903904136534,4855.09609586347,309.90194285714284,418.4897689174322,2025-03-21
81,6082.726017802366,5497.273982197637,309.90194285714284,413.3979473891721,2025-03-22
82,5540.236245316484,5349.763754683519,309.90194285714284,409.94024778560697,2025-03-23
83,5099.226390240228,5790.773609759775,309.90194285714284,407.2718240446794,2025-03-24
84,4787.035596224633,6102.964403775371,309.90194285714284,405.61597645299497,2025-03-25
85,4787.035596224633,5430.964403775371,309.90194285714284,405.61597645299497,2025-03-26
86,4348.131171459386,5119.868828540618,309.90194285714284,403.3194131665953,2025-03-27
87,3766.146828279699,5016.853171720304,309.90194285714284,400.4188609610595,2025-03-28
88,3218.5844007130363,5564.415599286967,309.90194285714284,397.9078864711614,2025-03-29
89,2562.988944350303,5514.0110556497,309.90194285714284,395.48303674537385,2025-03-30
90,2072.4436950497393,6004.556304950263,309.90194285714284,393.8016539221406,2025-03-31
91,1724.127871710187,6352.872128289816,309.90194285714284,392.7654189267643,2025-04-01
92,1724.127871710187,5649.872128289816,309.90194285714284,392.76541892676426,2025-04-02
93,1129.5332482329702,5555.466751767033,309.90194285714284,391.0644687496166,2025-04-03
94,1129.5332482329702,5555.466751767033,309.90194285714284,391.0644687496166,2025-04-04
95,530.6758525081027,6154.3241474919005,309.90194285714284,389.4917455825655,2025-04-05
96,32.78576953682159,5994.214230463182,309.90194285714284,388.39976059263086,2025-04-06
97,0.0,6027.000000000004,309.90194285714284,388.3263349510968,2025-04-07
98,0.0,6027.000000000004,309.90194285714284,388.3263349510968,2025-04-08
99,0.0,6027.000000000004,309.90194285714284,388.3263349510968,2025-04-09
100,0.0,5337.000000000004,309.90194285714284,388.3263349510968,2025-04-10
101,0.0,4663.000000000004,309.90194285714284,388.3263349510968,2025-04-11
102,6452.847570517568,5210.152429482436,274.91828571428573,383.24268680357847,2025-04-12
103,6017.965853186263,4958.03414681374,274.91828571428573,379.90506484097324,2025-04-13
104,5515.051150992391,5460.948849007613,274.91828571428573,376.2225657602787,2025-04-14
105,4847.073772553213,6128.926227446791,274.91828571428573,372.2658469303726,2025-04-15
106,4847.073772553213,5397.926227446791,274.91828571428573,372.2658469303726,2025-04-16
107,4377.761369551952,5127.2386304480515,274.91828571428573,369.6784096976734,2025-04-17
108,4377.761369551952,5127.2386304480515,274.91828571428573,369.6784096976734,2025-04-18
109,3976.7179378719115,5528.282062128093,274.91828571428573,367.5194926750989,2025-04-19
110,3654.921164065916,5150.078835934088,274.91828571428573,366.00122606669294,2025-04-20
111,3229.3637085391365,5575.636291460867,274.91828571428573,364.01045960546827,2025-04-21
112,3229.3637085391365,5575.636291460867,274.91828571428573,364.01045960546827,2025-04-22
113,2546.4750163473495,5584.524983652654,274.91828571428573,361.3816815525596,2025-04-23
114,1931.318635740259,6199.681364259744,274.91828571428573,359.25200034417924,2025-04-24
115,1385.239225311056,6063.760774688947,274.91828571428573,357.68690726733706,2025-04-25
116,738.543296956616,6710.456703043387,274.91828571428573,355.9745208055307,2025-04-26
117,125.40757313335303,6611.59242686665,274.91828571428573,354.6302827935365,2025-04-27
118,0.0,6737.000000000004,274.91828571428573,354.35642264070077,2025-04-28
119,0.0,6737.000000000004,274.91828571428573,354.35642264070077,2025-04-29
120,0.0,6737.000000000004,274.91828571428573,354.35642264070077,2025-04-30
121,0.0,6003.000000000004,274.91828571428573,354.35642264070077,2025-05-01
122,0.0,5273.000000000004,274.91828571428573,354.3564226407007,2025-05-02
123,0.0,5273.000000000004,274.91828571428573,354.3564226407007,2025-05-03
124,0.0,4575.000000000004,274.91828571428573,354.3564226407007,2025-05-04
125,4599.321674113206,4975.678325886797,256.3099574468085,351.69527746950337,2025-05-05
126,4124.223045534753,5450.776954465251,256.3099574468085,349.04684331189696,2025-05-06
127,3504.4951606329187,5335.504839367085,256.3099574468085,346.2152301156661,2025-05-07
128,2863.576739382862,5266.423260617142,256.3099574468085,343.5443603757478,2025-05-08
129,2604.557279543092,4805.442720456912,256.3099574468085,342.5020650651491,2025-05-09
130,2100.9022283505633,5309.097771649441,256.3099574468085,340.49164587407876,2025-05-10
131,1629.1532849175378,5118.846715082466,256.3099574468085,338.9263144105724,2025-05-11
132,1230.9559376233842,5517.04406237662,256.3099574468085,337.6548388644924,2025-05-12
133,1230.9559376233842,5517.04406237662,256.3099574468085,337.6548388644924,2025-05-13
134,787.4860665470442,5260.5139334529595,256.3099574468085,336.4387587519409,2025-05-14
135,94.75990947540481,5221.240090524599,256.3099574468085,334.6783532870437,2025-05-15
136,0.0,4637.000000000004,256.3099574468085,334.4400560749195,2025-05-16
137,6493.608194106612,5143.391805893391,236.04755555555556,331.1524028531834,2025-05-17
138,5921.93375007509,5021.066249924914,236.04755555555556,328.14103411502555,2025-05-18
139,5469.0718837022705,5473.928116297733,236.04755555555556,325.8995718586172,2025-05-19
140,4751.3370074147915,6191.662992585212,236.04755555555556,323.018736957213,2025-05-20
141,4042.3312860082906,6235.668713991713,236.04755555555556,320.7613190220135,2025-05-21
142,3631.7674363748542,5979.23256362515,236.04755555555556,319.54352254226814,2025-05-22
143,3132.7031057520458,5782.296894247958,236.04755555555556,318.1186608025042,2025-05-23
144,2702.895468087333,6212.104531912671,236.04755555555556,316.9375326709952,2025-05-24
145,2279.2328512615995,5894.767148738404,236.04755555555556,315.92303214149604,2025-05-25
146,1988.8379007493068,6185.162099250697,236.04755555555556,315.2246246919089,2025-05-26
147,1451.1882296642898,6722.811770335714,236.04755555555556,314.09082877161507,2025-05-27
148,950.2772049435582,6480.722795056446,236.04755555555556,313.18637555023173,2025-05-28
149,647.4435263157791,6071.556473684224,236.04755555555556,312.644470499769,2025-05-29
150,647.4435263157791,5414.556473684224,236.04755555555556,312.64447049976906,2025-05-30
151,647.4435263157791,5414.556473684224,236.04755555555556,312.64447049976906,2025-05-31
152,241.89425946212333,5168.10574053788,236.04755555555556,311.83638890073007,2025-06-01
153,0.0,5410.000000000003,236.04755555555556,311.3539939187539,2025-06-02
