🚀 Initialisation de l'entraînement sur MPS...
✅ Tokenizer chargé (Vocab: 30256)
🚀 Device: mps
Dtype du modèle : torch.float32
✨ Aucun checkpoint trouvé, démarrage à zéro.
🚀 Dataset Train: 1526.63M tokens.
✅ Provider HP initialisé : 5963390 blocs uniques. Epoch : 0
🔄 Reprise au batch 0 [step : 0]
🚀 Init terminé.
📦 Démarrage du mode binaire (Continuous Training)
🌡️  Surveillance Mac Pro : Maintenir sous 75°C idéalement.
[96m[Model config][0m
  n_embd             : 384[0m
  num_heads          : 6[0m
  n_layers           : 6[0m
  block_size         : 256[0m
  dropout            : [93m0.15[0m
[96m[Train params][0m
  batch_size         : 32[0m
  grad_accum_steps   : 4[0m
  learning_rate      : [92m0.0003[0m
  min_lr             : 3e-05[0m
  warmup_iters       : 2000[0m
  lr_decay_iters     : 75000[0m
  eval_interval      : [92m300[0m
  eval_iters         : 20[0m
  save_interval      : 300[0m
  n_version          : 10[0m
  use_compile        : False[0m
  [1mEffective Batch Size: 128[0m
..................................................

📦 Démarrage Training sur 3Go (Mode Continu)
   ▶️ Reprise au step : 0
   📉 Evaluation tous les : 300 steps
   💾 Sauvegarde tous les : 300 steps
🟢 RAM Système: 53.4% | Process: 494Mo | Swap: 2344Mo
step 9000: train loss 2.9205, val loss 2.9999, lr 2.94e-04 (1493.52s) | 🟡 Po: 76.6% SW: 2290Mo MPS: 1230Mo | 💾 | 🗑️ | ✨
step 9300: train loss 2.9977, val loss 3.0235, lr 2.93e-04 (1496.08s) | 🟡 Po: 73.8% SW: 2552Mo MPS: 1230Mo | 💾 | 🗑️ | ✨
step 9600: train loss 2.9386, val loss 2.9540, lr 2.93e-04 (1468.20s) | 🟡 Po: 73.6% SW: 2536Mo MPS: 1230Mo | 💾 | 🗑️ | ✨
step 9900: train loss 2.9749, val loss 2.8993, lr 2.92e-04 (1472.12s) | 🟡 Po: 73.0% SW: 2480Mo MPS: 1230Mo | 💾 | 🗑️ | ✨
step 10200: train loss 2.9647, val loss 3.0002, lr 2.92e-04 (1510.97s) | 🟡 Po: 77.2% SW: 2373Mo MPS: 1230Mo | 💾 | 🗑️ | ✨
step 10500: train loss 2.9217, val loss 2.9475, lr 2.91e-04 (1495.62s) | 🟡 Po: 77.2% SW: 2333Mo MPS: 1230Mo | 💾 | 🗑️ | ✨
step 10800: train loss 2.9615, val loss 2.9353, lr 2.90e-04 (1472.08s) | 🟡 Po: 77.5% SW: 2317Mo MPS: 1230Mo | 💾 | 🗑️ | ✨
step 11100: train loss 2.9059, val loss 2.9150, lr 2.90e-04 (1491.44s) | 🟡 Po: 75.4% SW: 2366Mo MPS: 1230Mo | 💾 | 🗑️ | ✨
step 11400: train loss 2.9319, val loss 2.9224, lr 2.89e-04 (1469.40s) | 🟡 Po: 76.2% SW: 2358Mo MPS: 1230Mo | 💾 | 🗑️ | ✨
step 11700: train loss 2.9501, val loss 2.9357, lr 2.88e-04 (1486.19s) | 🟡 Po: 76.5% SW: 2342Mo MPS: 1230Mo | 💾 | 🗑️ | ✨
step 12000: train loss 2.9119, val loss 2.8737, lr 2.88e-04 (1481.86s) | 🟡 Po: 77.5% SW: 2394Mo MPS: 1230Mo | 💾 | 🗑️ | ✨
step 12300: train loss 2.9789, val loss 2.9367, lr 2.87e-04 (1486.16s) | 🟡 Po: 79.9% SW: 2649Mo MPS: 1230Mo | 💾 | 🗑️ | ✨
step 12600: train loss 2.9711, val loss 2.9179, lr 2.86e-04 (1522.64s) | 🟡 Po: 75.0% SW: 2617Mo MPS: 1230Mo | 💾 | 🗑️ | ✨
step 12900: train loss 2.8987, val loss 2.8919, lr 2.85e-04 (1533.28s) | 🟡 Po: 77.5% SW: 2609Mo MPS: 1230Mo | 💾 | 🗑️ | ✨
step 13200: train loss 2.9020, val loss 2.9767, lr 2.85e-04 (1470.66s) | 🟡 Po: 70.0% SW: 1664Mo MPS: 1230Mo | 💾 | 🗑️ | ✨
